miRNA,Gene,ΔG open,Probability exact,Conservation PhyloP,miRmap score
hsa-miR-4714-3p,BDNF,24.2716,4.3689967807278,1.64400151904643,9.95098
hsa-miR-2113,BDNF,65.721,1.68143967129129,5.26889366504344,9.95629
hsa-miR-551b-5p,BDNF,73.47,0.278841979012074,84.5653094794562,10.064
hsa-miR-514a-3p,BDNF,62.4692,49.0081487875954,89.5697483452541,10.4844
hsa-miR-4275,BDNF,94.1352,1.52218769860995,89.5697483452541,10.5237
hsa-miR-197-3p,BDNF,46.8877,3.77296750042249,12.7213968821218,10.5519
hsa-miR-6505-3p,BDNF,30.0618,54.5998664458216,70.3911439540653,10.6672
hsa-miR-4441,BDNF,16.2364,15.2405113721646,8.84043803460176,10.7152
hsa-miR-3673,BDNF,14.0349,39.8039547960464,75.7874211876522,10.9136
hsa-miR-106a-3p,BDNF,96.0475,44.0425418541787,89.5697483452541,11.0429
hsa-miR-3617-5p,BDNF,48.6357,37.907940866262,46.2366386070139,11.5843
hsa-miR-514a-5p,BDNF,19.2166,13.1223873328307,3.03331466248671,11.7591
hsa-miR-584-5p,BDNF,46.8561,12.7186655363148,13.9814624353024,11.8294
hsa-miR-4724-3p,BDNF,44.4874,8.64338881258377,2.1806297426718,11.876
hsa-miR-548g-5p,BDNF,42.9922,6.85284581772658,18.2503084496498,12.0155
hsa-miR-548aj-5p,BDNF,42.9922,6.85284581772658,18.2503084496498,12.0155
hsa-miR-491-3p,BDNF,41.1948,36.3691014926561,63.8212681464811,12.0696
hsa-miR-6515-3p,BDNF,28.5639,10.3688121407595,69.888973878361,12.3666
hsa-miR-3150b-5p,BDNF,50.3944,8.55419779432687,89.5697483452541,12.8067
hsa-miR-4328,BDNF,80.8981,2.2263676717721,89.5697483452541,13.0429
hsa-miR-4666b,BDNF,28.1254,8.00343009014984,81.8796217401115,13.5099
hsa-miR-595,BDNF,79.2938,6.76920793945668,56.6897179643255,13.5121
hsa-miR-3611,BDNF,70.7047,25.8578981682693,4.58998282605908,13.6811
hsa-miR-6506-5p,BDNF,62.0744,15.27981707012,18.4362643062026,13.8369
hsa-miR-5002-5p,BDNF,27.1018,12.7021377807608,73.0300211198911,13.9383
hsa-miR-501-5p,BDNF,85.2067,25.1936589802019,7.41318811116448,14.2093
hsa-miR-4495,BDNF,92.4824,30.7456604573216,93.6771201967147,14.6173
hsa-miR-4270,BDNF,19.4402,15.2405113721646,8.84043803460176,14.6256
hsa-miR-3171,BDNF,42.6325,66.1442171366028,22.9268370163733,14.6713
hsa-miR-500a-5p,BDNF,85.1804,24.6088908791728,14.639803400842,14.7238
hsa-miR-3942-5p,BDNF,74.7797,61.6746907086906,59.2472739010575,15.0006
hsa-miR-4668-3p,BDNF,73.0846,0.405983326329303,37.3593795800622,15.4497
hsa-miR-4725-5p,BDNF,19.4813,26.8336630881314,45.3938251261464,15.7273
hsa-miR-578,BDNF,92.8393,1.79542232287923,89.5697483452541,15.843
hsa-miR-1297,BDNF,41.031,23.6636023970357,28.0639627237663,15.9748
hsa-miR-4528,BDNF,69.257,4.46501885821556,76.8694857938573,16.1981
hsa-miR-136-5p,BDNF,32.0552,77.6377376213384,17.8510271219098,16.241
hsa-miR-100-3p,BDNF,29.4277,3.71697140264571,2.34471616134394,16.4093
hsa-miR-506-5p,BDNF,65.8504,4.73108164478895,30.0708708932615,16.5187
hsa-miR-3149,BDNF,89.7443,5.78807575877036,77.7368597298717,16.5263
hsa-miR-6076,BDNF,30.372,16.2066725352849,81.8796217401115,16.7548
hsa-miR-1273d,BDNF,17.5953,3.00712211501986,58.3583849538267,17.3421
